file,gt_emotion,audio_emotion,audio_conf,video_emotion,video_confidence,fused_prediction,eri_score,eri_level,fusion_source
1001_TIE_ANG_XX,angry,angry,0.851,angry,0.803,angry,0.93,HIGH,fusion
1001_IOM_FEA_XX,fear,fear,0.835,fear,0.847,fear,0.94,HIGH,fusion
1001_MTI_ANG_XX,angry,angry,0.887,angry,0.875,angry,0.98,HIGH,fusion
1001_TIE_SAD_XX,sad,sad,0.868,sad,0.939,sad,1,HIGH,fusion
1001_MTI_DIS_XX,disgust,disgust,0.957,disgust,0.899,disgust,1,HIGH,fusion
1001_IWL_ANG_XX,angry,neutral,0.404,angry,0.873,angry,0.52,MODERATE,video_override
1001_TAI_DIS_XX,disgust,disgust,0.872,disgust,0.871,disgust,0.97,HIGH,fusion
1001_TAI_SAD_XX,sad,sad,0.757,sad,0.971,sad,0.96,HIGH,fusion
1001_IWL_NEU_XX,neutral,neutral,0.837,neutral,0.853,neutral,0.94,HIGH,fusion
1001_ITS_ANG_XX,angry,angry,0.77,angry,0.84,angry,0.9,HIGH,fusion
1001_IWL_DIS_XX,disgust,disgust,0.779,disgust,0.844,disgust,0.91,HIGH,fusion
1001_TAI_NEU_XX,neutral,neutral,0.847,neutral,0.816,neutral,0.93,HIGH,fusion
1001_IWL_SAD_XX,sad,sad,0.781,sad,0.98,sad,0.98,HIGH,fusion
1001_ITS_SAD_XX,sad,sad,0.864,sad,0.916,sad,0.99,HIGH,fusion
1001_ITS_NEU_XX,neutral,neutral,0.804,neutral,0.893,neutral,0.95,HIGH,fusion
1001_TAI_FEA_XX,fear,fear,0.861,fear,0.971,fear,1,HIGH,fusion
1001_IEO_ANG_MD,angry,angry,0.794,angry,0.908,angry,0.95,HIGH,fusion
1001_IOM_NEU_XX,neutral,neutral,0.83,neutral,0.859,neutral,0.94,HIGH,fusion
1001_ITH_HAP_XX,happy,happy,0.916,happy,0.86,happy,0.99,HIGH,fusion
1001_TAI_HAP_XX,happy,happy,0.82,happy,0.882,happy,0.95,HIGH,fusion
1001_TSI_ANG_XX,angry,angry,0.968,angry,0.915,angry,1,HIGH,fusion
1001_TIE_NEU_XX,neutral,neutral,0.899,sad,0.41,neutral,0.75,HIGH,fusion
1001_ITH_NEU_XX,neutral,neutral,0.841,neutral,0.832,neutral,0.94,HIGH,fusion
1001_TAI_ANG_XX,angry,angry,0.885,angry,0.804,angry,0.94,HIGH,fusion
